ds,yhat
1982-09-01,3145.5977
1982-10-01,3145.5977
1982-11-01,3145.5977
1982-12-01,3145.5977
1983-01-01,3145.5977
1983-02-01,3145.5977
1983-03-01,3145.5977
1983-04-01,3145.5977
1983-05-01,3145.5977
1983-06-01,3145.5977
1983-07-01,3145.5977
1983-08-01,3145.5977
1983-09-01,3145.5977
1983-10-01,3145.5977
1983-11-01,3145.5977
1983-12-01,3145.5977
1984-01-01,3145.5977
1984-02-01,3145.5977
1984-03-01,3145.5977
1984-04-01,3145.5977
1984-05-01,3145.5977
1984-06-01,3145.5977
1984-07-01,3145.5977
1984-08-01,3145.5977
1984-09-01,3145.5977
1984-10-01,3145.5977
1984-11-01,3145.5977
1984-12-01,3145.5977
1985-01-01,3145.5977
1985-02-01,3145.5977
1985-03-01,3145.5977
1985-04-01,3145.5977
1985-05-01,3145.5977
1985-06-01,3145.5977
1985-07-01,3145.5977
1985-08-01,3145.5977
1985-09-01,3145.5977
1985-10-01,3145.5977
1985-11-01,3145.5977
1985-12-01,3145.5977
1986-01-01,3145.5977
1986-02-01,3145.3533
1986-03-01,3144.3853
1986-04-01,3145.3533
1986-05-01,3145.3533
1986-06-01,3145.3533
1986-07-01,3145.3533
1986-08-01,3145.2488
1986-09-01,3145.5977
1986-10-01,3145.5977
1986-11-01,3145.5977
1986-12-01,3145.3533
1987-01-01,3145.2488
1987-02-01,3145.2488
1987-03-01,3145.2488
1987-04-01,3145.5977
1987-05-01,3145.5977
1987-06-01,3145.5977
1987-07-01,3145.5977
1987-08-01,3145.5977
1987-09-01,3145.5977
1987-10-01,3145.5977
1987-11-01,3145.5977
1987-12-01,3145.5977
1988-01-01,3145.5977
1988-02-01,3145.5977
1988-03-01,3145.5977
1988-04-01,3145.5977
1988-05-01,3145.5977
1988-06-01,3145.5977
1988-07-01,3145.5977
1988-08-01,3145.5977
1988-09-01,3145.2488
1988-10-01,3145.3533
1988-11-01,3145.919
1988-12-01,3145.919
1989-01-01,3148.491
1989-02-01,3149.265
1989-03-01,3149.265
1989-04-01,3149.265
1989-05-01,3149.265
1989-06-01,3149.265
1989-07-01,3149.265
1989-08-01,3149.265
1989-09-01,3149.265
1989-10-01,3149.265
1989-11-01,3149.265
1989-12-01,3149.265
1990-01-01,3149.265
1990-02-01,3148.491
1990-03-01,3148.491
1990-04-01,3145.919
1990-05-01,3145.919
1990-06-01,3148.491
1990-07-01,3148.491
1990-08-01,3145.3533
1990-09-01,3145.3533
1990-10-01,3145.3533
1990-11-01,3145.3533
1990-12-01,3145.3533
1991-01-01,3145.5977
1991-02-01,3145.5977
1991-03-01,3145.5977
1991-04-01,3145.5977
1991-05-01,3145.5977
1991-06-01,3145.5977
1991-07-01,3145.5977
1991-08-01,3145.5977
1991-09-01,3145.5977
1991-10-01,3145.5977
1991-11-01,3145.5977
1991-12-01,3145.5977
1992-01-01,3145.5977
1992-02-01,3145.5977
1992-03-01,3145.5977
1992-04-01,3145.5977
1992-05-01,3145.5977
1992-06-01,3145.5977
1992-07-01,3145.5977
1992-08-01,3145.5977
1992-09-01,3145.5977
1992-10-01,3145.5977
1992-11-01,3145.5977
1992-12-01,3145.5977
1993-01-01,3145.5977
1993-02-01,3145.5977
1993-03-01,3145.5977
1993-04-01,3145.5977
1993-05-01,3145.5977
1993-06-01,3145.5977
1993-07-01,3145.5977
1993-08-01,3145.5977
1993-09-01,3145.5977
1993-10-01,3145.5977
1993-11-01,3145.5977
1993-12-01,3145.5977
1994-01-01,3145.5977
1994-02-01,3145.5977
1994-03-01,3145.5977
1994-04-01,3145.5977
1994-05-01,3145.5977
1994-06-01,3145.5977
1994-07-01,3145.5977
1994-08-01,3145.5977
1994-09-01,3145.5977
1994-10-01,3145.5977
1994-11-01,3145.5977
1994-12-01,3145.5977
1995-01-01,3145.5977
1995-02-01,3145.2488
1995-03-01,3145.3533
1995-04-01,3145.3533
1995-05-01,3145.919
1995-06-01,3148.491
1995-07-01,3148.491
1995-08-01,3145.919
1995-09-01,3145.919
1995-10-01,3148.491
1995-11-01,3148.491
1995-12-01,3148.491
1996-01-01,3148.491
1996-02-01,3145.919
1996-03-01,3145.3533
1996-04-01,3145.3533
1996-05-01,3145.2488
1996-06-01,3145.5977
1996-07-01,3145.2488
1996-08-01,3145.2488
1996-09-01,3145.2488
1996-10-01,3145.3533
1996-11-01,3144.3853
1996-12-01,3145.3533
1997-01-01,3145.3533
1997-02-01,3145.3533
1997-03-01,3145.3533
1997-04-01,3145.2488
1997-05-01,3145.2488
1997-06-01,3145.3533
1997-07-01,3144.3853
1997-08-01,3144.3853
1997-09-01,3145.3533
1997-10-01,3145.919
1997-11-01,3148.491
1997-12-01,3148.491
1998-01-01,3149.265
1998-02-01,3149.265
1998-03-01,3148.491
1998-04-01,3148.491
1998-05-01,3148.491
1998-06-01,3149.265
1998-07-01,3149.265
1998-08-01,3149.265
1998-09-01,3149.265
1998-10-01,3148.491
1998-11-01,3149.265
1998-12-01,3149.265
1999-01-01,3149.265
1999-02-01,3148.491
1999-03-01,3148.491
1999-04-01,3145.919
1999-05-01,3145.919
1999-06-01,3145.3533
1999-07-01,3145.3533
1999-08-01,3145.3533
1999-09-01,3145.3533
1999-10-01,3145.3533
1999-11-01,3145.919
1999-12-01,3145.919
2000-01-01,3145.3533
2000-02-01,2595.8594
2000-03-01,2595.8743
2000-04-01,2600.501
2000-05-01,2599.9783
2000-06-01,2602.502
2000-07-01,2602.3672
2000-08-01,2871.2034
2000-09-01,2945.8882
2000-10-01,2878.5125
2000-11-01,3158.8972
2000-12-01,3158.8972
2001-01-01,2883.294
2001-02-01,2607.1448
2001-03-01,2602.447
2001-04-01,2602.447
2001-05-01,2601.9243
2001-06-01,2602.447
2001-07-01,2871.2034
2001-08-01,2950.3699
2001-09-01,2950.3699
2001-10-01,2950.9343
2001-11-01,3159.4617
2001-12-01,3158.8972
2002-01-01,2674.7668
2002-02-01,2607.1448
2002-03-01,2607.7092
2002-04-01,2607.1448
2002-05-01,2607.1448
2002-06-01,2871.2034
2002-07-01,2950.3699
2002-08-01,2950.9343
2002-09-01,2943.3171
2002-10-01,2944.0486
2002-11-01,3160.193
2002-12-01,2888.6843
2003-01-01,2594.9583
2003-02-01,2599.656
2003-03-01,2600.8237
2003-04-01,2600.2205
2003-05-01,2868.1963
2003-06-01,2942.8809
2003-07-01,2942.8809
2003-08-01,2943.4453
2003-09-01,2944.0486
2003-10-01,2944.0486
2003-11-01,3160.0383
2003-12-01,2672.5405
2004-01-01,2594.9583
2004-02-01,2599.656
2004-03-01,2599.656
2004-04-01,2869.364
2004-05-01,2944.0486
2004-06-01,2943.4453
2004-07-01,2944.0486
2004-08-01,2944.0486
2004-09-01,2944.0486
2004-10-01,2944.0486
2004-11-01,2889.2876
2004-12-01,2600.8237
2005-01-01,2600.8237
2005-02-01,2600.8237
2005-03-01,2869.364
2005-04-01,2944.0486
2005-05-01,2944.0486
2005-06-01,2944.0486
2005-07-01,2944.0486
2005-08-01,2944.0486
2005-09-01,2944.0486
2005-10-01,2943.8938
2005-11-01,2672.989
2005-12-01,2600.8237
2006-01-01,2600.8237
2006-02-01,2869.364
2006-03-01,2943.8938
2006-04-01,2944.0486
2006-05-01,2944.0486
2006-06-01,2944.0486
2006-07-01,2944.0486
2006-08-01,2943.8938
2006-09-01,2943.8938
2006-10-01,2672.989
2006-11-01,2600.669
2006-12-01,2600.669
2007-01-01,2869.364
2007-02-01,2944.0486
2007-03-01,2943.5708
2007-04-01,2943.8938
2007-05-01,2943.8938
2007-06-01,2944.0486
2007-07-01,2944.0486
2007-08-01,2943.8938
2007-09-01,2672.666
2007-10-01,2600.346
2007-11-01,2603.5254
2007-12-01,2869.2092
2008-01-01,2944.0486
2008-02-01,2944.0486
2008-03-01,2944.0486
2008-04-01,2943.5708
2008-05-01,2943.5708
2008-06-01,2943.5708
2008-07-01,2943.5708
2008-08-01,2672.666
2008-09-01,2600.346
2008-10-01,2603.5254
2008-11-01,2868.8862
2008-12-01,2943.5708
2009-01-01,2943.5708
2009-02-01,2943.5708
2009-03-01,2943.5708
2009-04-01,2943.5708
2009-05-01,2943.5708
2009-06-01,2943.5708
2009-07-01,2672.666
2009-08-01,2603.5254
2009-09-01,2603.5254
2009-10-01,2872.0657
2009-11-01,2946.7502
2009-12-01,2946.7502
2010-01-01,2943.5708
2010-02-01,2943.5708
2010-03-01,2946.7502
2010-04-01,2946.7502
2010-05-01,2946.7502
2010-06-01,2672.666
2010-07-01,2600.346
2010-08-01,2603.5254
2010-09-01,2872.0657
2010-10-01,2946.7502
2010-11-01,2946.7502
2010-12-01,2946.7502
2011-01-01,2943.8938
2011-02-01,2943.8938
2011-03-01,2946.7502
2011-04-01,2946.7502
2011-05-01,2675.8455
2011-06-01,2603.5254
2011-07-01,2603.8484
2011-08-01,2872.3887
2011-09-01,2947.0732
2011-10-01,2947.0732
2011-11-01,2947.0732
2011-12-01,2947.0732
2012-01-01,2943.8938
2012-02-01,2947.0732
2012-03-01,2943.8938
2012-04-01,2675.8455
2012-05-01,2603.8484
2012-06-01,2603.8484
2012-07-01,2872.3887
2012-08-01,2947.0732
2012-09-01,2947.0732
2012-10-01,2947.0732
2012-11-01,2947.0732
2012-12-01,2947.0732
2013-01-01,2947.0732
2013-02-01,2942.1694
2013-03-01,2676.1685
2013-04-01,2603.8484
2013-05-01,2603.8484
2013-06-01,2872.3887
2013-07-01,2947.0732
2013-08-01,2941.0151
2013-09-01,2942.1694
2013-10-01,2946.444
2013-11-01,2946.444
2013-12-01,2942.1694
2014-01-01,2942.1694
2014-02-01,2673.247
2014-03-01,2600.2046
2014-04-01,2598.9446
2014-05-01,2867.4849
2014-06-01,2941.0151
2014-07-01,2944.1519
2014-08-01,2944.1519
2014-09-01,2943.5227
2014-10-01,2943.5227
2014-11-01,2943.5227
2014-12-01,2944.1519
2015-01-01,2673.247
2015-02-01,2600.927
2015-03-01,2600.2979
2015-04-01,2868.8381
2015-05-01,2944.1519
2015-06-01,2944.1519
2015-07-01,2944.1519
2015-08-01,2943.5227
2015-09-01,2943.5227
2015-10-01,2943.5227
2015-11-01,2943.5227
2015-12-01,2672.618
2016-01-01,2600.927
2016-02-01,2600.927
2016-03-01,2867.446
2016-04-01,2943.5227
2016-05-01,2943.5227
2016-06-01,2943.5227
2016-07-01,2943.5227
2016-08-01,2943.5227
2016-09-01,2943.5227
2016-10-01,2943.5227
2016-11-01,2672.618
2016-12-01,2600.2979
2017-01-01,2600.2979
2017-02-01,2868.8381
2017-03-01,2941.5015
2017-04-01,2943.5227
2017-05-01,2943.5227
2017-06-01,2943.5227
2017-07-01,2943.5227
2017-08-01,2943.5227
2017-09-01,2941.5015
2017-10-01,2670.6125
2017-11-01,2598.2925
2017-12-01,2598.2925
2018-01-01,2866.817
2018-02-01,2941.5015
2018-03-01,2941.5015
2018-04-01,2943.5227
2018-05-01,2941.5015
2018-06-01,2941.5015
2018-07-01,2941.5015
2018-08-01,2941.5015
2018-09-01,2670.9512
2018-10-01,2598.631
2018-11-01,2601.033
2018-12-01,2866.817
2019-01-01,2941.5015
2019-02-01,2941.5015
2019-03-01,2939.9136
2019-04-01,2941.5015
2019-05-01,2941.5015
2019-06-01,2941.5015
2019-07-01,2941.5015
2019-08-01,2670.9512
2019-09-01,2598.631
2019-10-01,2595.022
2019-11-01,2863.2078
2019-12-01,2941.5015
2020-01-01,2941.5015
2020-02-01,2998.2632
2020-03-01,3000.627
2020-04-01,2941.5015
2020-05-01,2941.5015
2020-06-01,2941.5015
2020-07-01,2673.315
2020-08-01,2600.9949
2020-09-01,2634.9536
2020-10-01,2865.5715
2020-11-01,3000.2654
2020-12-01,2940.256
2021-01-01,2943.8652
2021-02-01,3154.2312
2021-03-01,3246.809
2021-04-01,2943.5037
2021-05-01,2946.267
2021-06-01,2673.315
2021-07-01,2634.9536
2021-08-01,2631.706
2021-09-01,2922.333
2021-10-01,2997.0576
2021-11-01,3243.3943
2021-12-01,2997.0178
2022-01-01,3000.627
2022-02-01,3243.3943
2022-03-01,3243.3943
2022-04-01,2997.0178
2022-05-01,2704.0261
2022-06-01,2634.9536
2022-07-01,2631.706
2022-08-01,2922.333
2022-09-01,2997.0576
2022-10-01,3243.434
2022-11-01,3243.434
2022-12-01,3346.659
2023-01-01,3350.0737
2023-02-01,3346.659
2023-03-01,3243.434
2023-04-01,2950.4023
2023-05-01,2734.142
2023-06-01,2734.142
2023-07-01,2946.362
2023-08-01,3021.0864
2023-09-01,3346.6987
2023-10-01,3346.6987
2023-11-01,3346.7422
2023-12-01,3346.5486
2024-01-01,3349.7954
2024-02-01,3346.5088
2024-03-01,3346.5088
2024-04-01,2806.6755
2024-05-01,2734.182
2024-06-01,2954.2622
2024-07-01,3028.6233
2024-08-01,3346.5388
2024-09-01,3346.5388
2024-10-01,3346.5486
2024-11-01,3346.5486
2024-12-01,3346.5486
2025-01-01,3345.7053
2025-02-01,3346.5388
2025-03-01,3346.5388
2025-04-01,2813.195
2025-05-01,2953.9385
2025-06-01,3028.6135
2025-07-01,3346.5388
2025-08-01,3346.5388
2025-09-01,3346.7324
2025-10-01,3346.7324
2025-11-01,3346.7324
2025-12-01,3346.5388
2026-01-01,3346.5388
2026-02-01,3346.5388
2026-03-01,3346.7324
2026-04-01,3028.6135
2026-05-01,3028.6135
2026-06-01,3346.5388
2026-07-01,3346.5388
2026-08-01,3346.7324
2026-09-01,3346.7324
2026-10-01,3346.7324
2026-11-01,3346.7324
2026-12-01,3346.7324
2027-01-01,3346.5388
2027-02-01,3346.5388
2027-03-01,3346.7324
2027-04-01,3346.7324
2027-05-01,3346.7324
2027-06-01,3346.5388
2027-07-01,3346.5388
2027-08-01,3346.7324
2027-09-01,3346.7324
2027-10-01,3346.7324
2027-11-01,3346.7324
2027-12-01,3346.7324
2028-01-01,3346.5388
2028-02-01,3346.5388
2028-03-01,3346.5388
2028-04-01,3346.7324
2028-05-01,3346.7324
2028-06-01,3346.7324
2028-07-01,3348.0015
2028-08-01,3348.0015
2028-09-01,3348.0015
2028-10-01,3348.0015
2028-11-01,3348.0015
2028-12-01,3348.0015
2029-01-01,3348.0015
2029-02-01,3348.0015
2029-03-01,3348.0015
2029-04-01,3348.0015
2029-05-01,3348.0015
2029-06-01,3348.0015
2029-07-01,3348.0015
2029-08-01,3348.0015
2029-09-01,3348.0015
2029-10-01,3348.0015
2029-11-01,3348.0015
2029-12-01,3348.0015
2030-01-01,3348.0015
